UBR Number,UBR Year,Species Name,Number of birds,Details,Date first seen,Location,UBR Status,First NZ record?,Reference,
2011/034,2011,Brown booby,1,Live,Jan-29,Muriwai gannet colony,Accepted,,Miskelly et al. 2013,
2011/033,2011,Black fantail,1,Live,Apr-15,"Tararua District, East Dannevirke",Accepted,No,Miskelly et al. 2013,
2011/032,2011,Australian wood duck,1,Live,May-05,"Christchurch, Horseshoe Lake Reserve, Burwood",Accepted,,Miskelly et al. 2013,
2011/031,2011,Oriental cuckoo,1,Live,Mar-16,"Banks Peninsula, Hinewai Reserve",Not accepted,No,Miskelly et al. 2013,
2011/030,2011,Cape Barren goose,1,Live,Mar-05,"King Country, Te Kuiti sewage ponds",Accepted,No,Miskelly et al. 2013,
2011/029,2011,Lesser frigatebird,1,Live,Jan-19,"Auckland, Little Shoal Bay, Northcote",Accepted,No,Miskelly et al. 2013,
2011/028,2011,White-naped petrel,1,Live,Feb-15,"Stewart Island, Big Reef (off east coast )",Accepted,No,Miskelly et al. 2013,
2011/027,2011,Tree martin,1,Live,Feb-23,Kapiti Island,Not accepted,No,Miskelly et al. 2013,
2011/026,2011,Grey-backed storm petrel,1,Live,Feb-07,"South Westland, Franz Josef",Accepted,No,Miskelly et al. 2013,
2011/025,2011,Lesser frigatebird,1,Live,Jan-19,"Auckland, Northcote",Accepted,No,Miskelly et al. 2013,
2011/024,2011,Wandering tattler,1,Live,Oct-25,"Horowhenua, Waitarere Beach",Accepted,,Miskelly et al. 2013,
2011/023,2011,New Zealand dabchick,1,Live,Jan-07,"Lake Elterwater, Marlborough",Not accepted,No,Miskelly et al. 2013,
2011/022,2011,Semipalmated plover,1,Live,Oct-05,"Miranda, Firth of Thames",Accepted,No,Miskelly et al. 2013,
2011/021,2011,Grey plover,1,Live,Dec-19,"Avon-Heathcote estuary, Charlesworth Wetland",Accepted,No,Miskelly et al. 2013,
2011/020,2011,Black kite,1,Live,Dec-20,"Central Otago, Wanaka Airport",Accepted,No,Miskelly et al. 2011,
2011/019,2011,Oriental cuckoo,1,Live,Dec-10,"Kermadec Islands, Raoul Island",Accepted,No,Miskelly et al. 2011,
2011/018,2011,White-throated needletail,1,Live,Oct-24,"Kapiti Island, Waiorua Valley",Accepted,No,Miskelly et al. 2011,
2011/017,2011,Streaked shearwater,1,Dead,Feb-26,"Waikato coast, Kawhia Beach",Accepted,Yes,Scofield et al. 2010,
2011/016,2011,Stewart Island shag,1,Live,Dec-13,"Lake Ellesmere, Kaitorete Spit",Accepted,No,Miskelly et al. 2011,
2011/015,2011,Stewart Island shag,1,Live,May-26,"Lake Ellesmere, Ataahua Point",Accepted,No,Miskelly et al. 2011,
2011/014,2011,Red-vented bulbul,2,Live,Jun-25,"Auckland, Edenvale Park Road, Mt Eden",Accepted,No,Miskelly et al. 2011,
2011/013,2011,Eastern rosella,7,Live,May-26,"Christchurch, Victoria Park, Port Hills",Accepted,No,Miskelly et al. 2011,
2011/012,2011,New Zealand dotterel,2,Live,Nov-10,"Wairarapa, Riversdale Beach",Accepted,No,Miskelly et al. 2011,
2011/011,2011,Wandering tattler,1,Live,Dec-01,"Christchurch, Brooklands Lagoon",Accepted,No,Miskelly et al. 2011,
2011/010,2011,Chestnut teal,1,Live,Mar-30,"Christchurch, Bromley oxidation ponds",Accepted,No,Miskelly et al. 2011,
2011/009,2011,Common sandpiper,1,Live,Mar-04,"Washdyke Lagoon, Timaru",Accepted,No,Miskelly et al. 2011,
2011/008,2011,Ruff,1,Live,Feb-13,"North Canterbury, Kaiapoi oxidation ponds",Accepted,No,Miskelly et al. 2011,
2011/007,2011,Franklin's gull,1,Live,Oct-11,"South Auckland, Papakura, Bruce Pulman Park",Accepted,No,Miskelly et al. 2011,
2011/006,2011,Semipalmated plover,1,Live,Nov-13,"Miranda, Firth of Thames",Accepted,No,Miskelly et al. 2011,
2011/005,2011,Whiskered tern,1,Live,May-16,"Christchurch, Travis Wetland",Accepted,No,Miskelly et al. 2011,
2011/004,2011,Chestnut-breasted shelduck,1,Live,Feb-16,"Christchurch, Bromley oxidation ponds",Accepted,No,Miskelly et al. 2011,
2011/003,2011,Chestnut teal,1,Live,May-08,"Manukau Harbour, Mangere ponds",Accepted,No,Miskelly et al. 2011,
2011/002,2011,Fan-tailed cuckoo,1,Dead,Oct-07,"Northland, Maungaturoto",Accepted,No,Miskelly et al. 2011,
2011/001,2011,Common sandpiper,1,Live,Sep-26,"Tomahawk Lagoon, Ocean Grove, Dunedin",Accepted,No,Miskelly et al. 2011,
2010/016,2010,Ring-billed gull,1,Live,Jun-03,"Nelson, Pearl Creek, Richmond",Not accepted,No,Miskelly et al. 2011,
2010/015,2010,Marsh sandpiper,1,Live,Mar-21,"Lake Grassmere, Marlborough",Accepted,No,Miskelly et al. 2011,
2010/014,2010,New Zealand dabchick,1,Live,May-30,"Nelson oxidation ponds, Whakapauka",Accepted,No,Miskelly et al. 2011,
2010/013,2010,Little whimbrel,1,Live,Sep-26,"North Westland, Nine Mile Beach",Accepted,No,Miskelly et al. 2011,
2010/012,2010,Sulphur-crested cockatoo,5,Live,Sep-20,"Bay of Plenty, Wairoa Road, Te Puna turnoff",Accepted,No,Miskelly et al. 2011,
2010/011,2010,Whiskered tern,1,Live,Oct-01,"Kaipara Harbour, Ripiro Beach",Accepted,No,Miskelly et al. 2011,
2010/010,2010,Gull-billed tern,1,Live,Aug-11,"North Canterbury, Waimakariri River",Not accepted,No,Miskelly et al. 2011,
2010/009,2010,Bellbird,2,Live,Jul-12,"North Auckland, north of Matakana",Accepted,No,Miskelly et al. 2011,
2010/008,2010,Red-necked phalarope,1,Live,Jun-22,"Ahuriri estuary, Napier",Accepted,No,Miskelly et al. 2011,
2010/007,2010,Brown booby,1,Live,May-22,"Hauraki Gulf, Moturua Island off Amodeo Bay",Accepted,No,Miskelly et al. 2011,
2010/006,2010,Little stint,1,Live,Mar-01,Lake Ellesmere,Accepted,No,Miskelly et al. 2011,
2010/005,2010,Straw-necked ibis,1,Live,Feb-01,"Central Otago, near Tarras",Accepted,Yes,Miskelly et al. 2011,
2010/004,2010,Great shearwater,1,Live,Feb-14,Kaikoura pelagic,Accepted,No,Miskelly et al. 2011,
2010/003,2010,Pacific gull,1,Live,17/01/2010,Not accepted,No,Miskelly et al. 2023,,
2010/002,2010,Starling,1,Live,Jan-14,"Kapiti coast, Nikau Valley, Paraparaumu",Accepted,No,Miskelly et al. 2011,
2010/001,2010,Chestnut-breasted shelduck,1,Live,Jan-18,"Wellington, Belmont Regional Park, Lower Hutt",Not accepted,No,Miskelly et al. 2011,
2009/024,2009,Rock wren,2,Live,Jul-31,"Golden Bay, Takaka Valley, Rameka Creek",Accepted,No,Miskelly et al. 2011,
2009/023,2009,Arctic tern,1,Live,Dec-13,"South Canterbury, Spider Lagoon coastline",Accepted,No,Miskelly et al. 2011,
2009/022,2009,Lesser yellowlegs,1,Live,Oct-31,"Avon-Heathcote estuary, Charlesworth Wetland",Accepted,No,Miskelly et al. 2011,
2009/021,2009,Whiskered tern,1,Live,Dec-15,"Christchurch, Bromley oxidation ponds",Accepted,No,Crossland 2011,
2009/020,2009,Australian wood duck,1,Live,Feb-12,"Christchurch, Bromley oxidation ponds",Accepted,No,Miskelly et al. 2011,
2009/019,2009,King shag,3,Live,Jan-11,"Wellington Harbour, Point Howard",Not accepted,No,Miskelly et al. 2011,
2009/018,2009,Pomarine skua,1,Live,Sep-28,"Auckland, Long Bay Beach",Accepted,No,Miskelly et al. 2011,
2009/017,2009,Glossy ibis,1,Live,May-28,"Nelson, Cotterel Road, Richmond",Accepted,No,Miskelly et al. 2011,
2009/016,2009,Barn owl,2,Live,May-04,"Far North, Kaitaia, Church Road",Accepted,,Hyde et al. 2010,
2009/015,2009,Sooty tern,1,Live,Feb-23,Parengarenga Harbour,Accepted,No,Miskelly et al. 2011,
2009/014,2009,Red-tailed tropicbird,1,Live,Mar-24,"Tawharanui Regional Park, North Auckland",Accepted,No,Miskelly et al. 2011,
2009/013,2009,Fiordland crested penguin,1,Live,Feb-09,"Kaikoura, 10 km north",Accepted,No,Miskelly et al. 2011,
2009/012,2009,Black-bellied storm petrel,1,Live,May-30,Kaikoura pelagic,Accepted,No,Miskelly et al. 2011,
2009/011,2009,Cape Barren goose,4,Live,Feb-05,"Far North, Cape Reinga vicinity",Accepted,No,Miskelly et al. 2011,
2009/010,2009,South Island kokako,1,Live,Mar-21,"Murchison District, Upper Inangahua valley",Not accepted,No,Miskelly et al. 2011,
2009/009,2009,Black noddy,1,Live,Apr-05,"Far North, Te Werahi Beach",Accepted,No,Miskelly et al. 2011,
2009/008,2009,Cirl bunting,1,Live,Feb-22,"Motuora Island, Hauraki Gulf",Accepted,No,Miskelly et al. 2011,
2009/007,2009,Brolga,1,Live,Mar-08,"Southland, Mossburn",Not accepted,No,Miskelly et al. 2013,
2009/006,2009,Lesser yellowlegs,1,Live,Jan-28,"North Westland, Karamea Estuary",Not accepted,No,Miskelly et al. 2011,
2009/005,2009,Great frigatebird,2,Live,Dec-24,"Kermadec Islands, Raoul Island, Fleetwood Bluff",Accepted,No,Miskelly et al. 2011,
2009/004,2009,Great frigatebird,1,Live,Feb-27,Farewell Spit near Lighthouse,Accepted,No,Miskelly et al. 2011,
2009/003,2009,Nankeen kestrel,1,Live,Nov-01,"Hen & Chickens group, Lady Alice Island",Not accepted,No,Miskelly et al. 2011,
2009/002,2009,Dunlin,1,Live,Apr-18,"Manukau Harbour, Seagrove",Accepted,No,Miskelly et al. 2011,
2009/001,2009,Cockatiel,2,Live,Jan-01,Tiritiri Matangi Island,Accepted,No,Miskelly et al. 2011,
2008/019,2008,Nankeen kestrel,1,Live,Jun-15,"Southland, Forest Hill Crossing Road",Accepted,No,Miskelly et al. 2011,
2008/018,2008,Fiordland crested penguin,1,Died,Jul-11,"Kaikoura, 15 km NE",Accepted,No,Miskelly et al. 2011,
2008/017,2008,Cape Barren goose,2,Breeding,Oct-27,Canterbury,Accepted,No,Miskelly et al. 2011,
2008/016,2008,Nankeen night heron,4,Live,Oct-20,"Whanganui River, Jerusalem",Accepted,No,Miskelly et al. 2011,
2008/015,2008,Providence petrel,1,Live,May-21,"Far North at sea, east of North Cape",Accepted,No,Miskelly et al. 2011,
2008/014,2008,Barn owl,2,Live,Apr-23,"Far North, Kaitaia, Church Road",Accepted,No,Miskelly et al. 2011,
2008/013,2008,Fairy martin,2,Live,Mar-22,"Tawharanui Regional Park, North Auckland",Accepted,No,Miskelly et al. 2011,
2008/012,2008,Darter,1,Live,May-14,"Central Otago, Albertown river",Not accepted,No,Miskelly et al. 2011,
2008/011,2008,Wedge-tailed eagle,1,Live,Jun-02,"Central Otago, Queenstown",Not accepted,No,Miskelly et al. 2011,
2008/010,2008,Greater sand plover,2,Live,May-06,"Southland, Awarua Bay",Accepted,No,Miskelly et al. 2011,
2008/009,2008,Red-tailed tropicbird,1,Dead,Dec-15,Manukau area,Accepted,No,Miskelly et al. 2011,
2008/008,2008,Red-necked phalarope,0,Live,Feb-09,Farewell Spit,Not accepted,No,Scofield 2008,
2008/007,2008,Fruit dove sp.,0,Live,Feb-03,"Christchurch, Manchester St",Not accepted,No,Scofield 2008,
2008/006,2008,Black falcon,1,Live,Apr-25,"Nelson, Mac's Road",Not accepted,No,Scofield 2008,
2008/005,2008,Ruff,1,Live,Nov-01,Nelson Haven,Accepted,No,Scofield 2008,
2008/004,2008,Whimbrel,0,,Jan-11,"Kaikoura Peninsula, Sugar Loaf Point",,,,
2008/003,2008,unidentified raptor,0,Live,Nov-14,"Central Otago, between Twizel & Queenstown",,Not accepted,No,Scofield 2008
2008/002,2008,Tattler sp.,0,Live,Jan-11,"Kaikoura Peninsula, Sugar Loaf Point",,Accepted,No,Scofield 2008
2008/001,2008,Spotted redshank,0,Live,Nov-03,"Lake Grassmere, Marlborough",,Not accepted,No,Scofield 2008
2007/020,2007,Common greenshank,1,Live,Mar-30,"Rangaunu Harbour, Unahi Wharf",,Accepted,No,Scofield 2008
2007/019,2007,Glossy ibis,1,Live,Mar-30,"Rangaunu Harbour, Unahi Wharf",,Accepted,No,Scofield 2008
2007/018,2007,Australasian bittern,1,Dead,Sep-29,"Far North, Rangiahua",,Accepted,No,Scofield 2008
2007/017,2007,Auckland Island banded dotterel,2,Live,Jan-16,"Campbell Island, Lyall-Moubray ridge",,Accepted,No,Scofield 2008
2007/016,2007,Cape Barren goose,2,Live,Jul-24,Hokitika sewage ponds,,Accepted,No,Scofield 2008
2007/015,2007,Fork-tailed swift,0,Live,Mar-01,"Stewart Island, Mt Anglem,",,Not accepted,No,Scofield 2008
2007/014,2007,Masked booby,1,Live,May-17,"North Westland, south end 9 mile Beach, Buller",,Accepted,No,Scofield 2008
2007/013,2007,Stout-legged wren,1,Live,Jul-01,"North Westland, Karamea bluff road",,Not accepted,No,Scofield 2008
2007/012,2007,South Island kokako,0,Live,Nov-27,"Kahurangi National Park, Mount Xenicus",,Not accepted,No,Scofield 2008
2007/011,2007,Chestnut-breasted shelduck,2,Live,Dec-22,"Otago Peninsula, adjacent to Hoopers Inlet",,Accepted,No,Scofield 2008
2007/010,2007,Great shearwater,1,Live,Dec-31,"Chatham Islands, east of Pitt Island",,Accepted,Yes,Gaskin et al. 2008
2007/009,2007,Red-crowned parakeet,2,Live,May-20,"Kahurangi National Park, Kiwi Saddle Hut",,Accepted,No,Scofield 2008
2007/008,2007,White-browed woodswallow,0,,Sep-06,"Tararua District, Dannevirke",,,,
2007/007,2007,Little egret,1,Live,Feb-21,Waikanae River estuary,,Accepted,No,Scofield 2008
2007/006,2007,Plumed whistling duck,5,Live,Feb-23,"Tararua District, Woodville, Hopelands Rd",,Accepted,No,Scofield 2008
2007/005,2007,Red-necked phalarope,2,Live,Jan-07,"Lake Grassmere, Marlborough",,Accepted,No,Scofield 2008
2007/004,2007,Chestnut-breasted shelduck,3,Live,Jan-18,"Otago, Kaikorai Estuary",,Accepted,No,Scofield 2008
2007/003,2007,Chestnut-breasted shelduck,3,Live,Jan-13,"Otago Peninsula, Hoopers Inlet",,Accepted,No,Scofield 2008
2007/002,2007,Crested pigeon,0,Live,Nov-02,"Waikato, West Huntly",,Accepted,No,Scofield 2008
2007/001,2007,Blackbird,1,Live,Apr-15,"South Auckland, Waiuku",,Accepted,No,Scofield 2008
2006/058,2006,Cape Barren goose,0,,Jul-01,"Far North, Sweetwater (north west Kaitaia)",,Accepted,,
2006/057,2006,Black-bellied storm petrel,1,Live,Nov-22,"Stewart Island, 10 miles south of",,Accepted,No,Scofield 2008
2006/056,2006,New Zealand storm petrel,4,Live,Nov-04,Hauraki Gulf,,Accepted,No,Scofield 2007
2006/055,2006,Black-faced cuckoo-shrike,1,Live,Nov-12,"Kapiti Island, Waiorua",,Accepted,No,Scofield 2008
2006/054,2006,Pallid cuckoo,1,Live,Nov-07,"Wellington, Karori",,Accepted,No,Scofield 2008
2006/053,2006,North Island piopio,1,Live,Jun-15,"Kaimanawa Ranges,Upper Oamaru Valley",,Not accepted,No,Scofield 2008
2006/052,2006,Plumed egret,1,Live,Nov-07,"Auckland, Waiatarua Wetland",,Accepted,No,Scofield 2008
2006/051,2006,Fairy martin,0,Live,Oct-27,Tiritiri Matangi Island,,Not accepted,No,Scofield 2008
2006/050,2006,Plumed egret,1,Live,Nov-13,"Auckland, Waiatarua Wetland",,Accepted,No,Scofield 2008
2006/049,2006,Little egret,1,Live,Sep-30,"Wellington, Porirua, Papakowhai",,Accepted,No,Scofield 2008
2006/048,2006,Plumed egret,1,Live,Nov-20,"Hawke's Bay, Ngaruroro River bridge",,Accepted,No,Scofield 2008
2006/047,2006,Arctic tern,1,Live,Sep-24,"Auckland, Whatipu Beach, North Manukau Heads",,Accepted,No,Scofield 2008
2006/046,2006,Little black shag,1,Live,Sep-20,"Washdyke Lagoon, Timaru",,Accepted,No,Scofield 2008
2006/045,2006,White-faced heron,1,Live,Jan-04,"Auckland Islands, Erebus Cove",,Accepted,No,Scofield 2008
2006/044,2006,Vanuatu petrel,1,Live,Mar-19,Kermadec Islands,,Not accepted,No,Scofield 2008
2006/043,2006,Nankeen kestrel,1,Live,Jul-19,"Far North, Kaitaia airport",,Accepted,No,Scofield 2008
2006/042,2006,Great knot,1,Live,Nov-30,"New Plymouth, Waiongana estuary",,Not accepted,No,Scofield 2008
2006/041,2006,Great knot,1,Live,May-29,"South Auckland, Clifton Beach, Turanga estuary, Whitford",,Accepted,No,Scofield 2008
2006/040,2006,Pheasant sp.,1,Live,Nov-10,"Waikato, Cambridge",,Not accepted,No,Scofield 2008
2006/039,2006,Sooty tern,0,Live,May-09,"Christchurch, Southshore Spit",,Not accepted,No,Scofield 2008
2006/038,2006,King penguin,1,Live,May-10,"Chatham Islands, Star Keys",,Accepted,No,Miskelly et al. 2006
2006/037,2006,Royal penguin,1,Live,Mar-05,"Chatham Islands, Rangatira (South East) Island",,Accepted,No,Miskelly et al. 2006
2006/036,2006,Brown booby,1,Live,Apr-11,Muriwai gannet colony,,Accepted,No,Scofield 2008
2006/035,2006,Black-tailed godwit,1,Live,Mar-19,Mangawhai Spit,,Accepted,,
2006/034,2006,Baird's sandpiper,1,Live,Mar-18,"Whangarei Harbour, Skull Creek",,Not accepted,No,Scofield 2008
2006/033,2006,Grey-tailed tattler,0,Live,Mar-19,Mangawhai Spit,,Accepted,No,Scofield 2008
2006/032,2006,New Zealand dabchick,0,Live,Mar-30,"Golden Bay, Puramahoi",,Accepted,No,Scofield 2008
2006/031,2006,Sooty tern,0,Live,Apr-26,Kaikoura Peninsula,,Not accepted,No,Scofield 2008
2006/030,2006,Hybrid oystercatcher (VOC x SIPO),0,Live,Oct-01,"Marlborough, Molesworth, Awatere River",,Not accepted,No,Scofield 2008
2006/029,2006,Baird's sandpiper,1,Live,Nov-07,Portland Island,,Accepted,No,Scofield 2008
2006/028,2006,Tree martin,0,Live,Dec-25,"Abel Tasman National Park, Torrent Bay Township",,Accepted,No,Scofield 2008
2006/027,2006,Hybrid goose (Canada X feral goose),0,Live,May-30,"Christchurch, Bromley oxidation ponds",,Accepted,No,Scofield 2008
2006/026,2006,Glossy ibis,0,Live,Apr-01,"Marlborough, Lower Opawa River",,Accepted,No,Scofield 2008
2006/025,2006,Chestnut teal,0,Live,Oct-13,"North Auckland, Coatesville",,Accepted,No,Scofield 2008
2006/024,2006,Little egret,0,Live,Apr-04,"Manukau Harbour, Mangere ponds",,Accepted,No,Scofield 2008
2006/023,2006,Lovebird sp.,0,Live,Dec-01,Muriwai Regional Park,,Accepted,No,Scofield 2008
2006/022,2006,Pacific heron,0,Live,Dec-06,"Golden Bay, Mangarakau wetlands",,Not accepted,No,Scofield 2008
2006/021,2006,Tree martin,0,Live,Nov-27,"Waikato, Mangatete Stream, Lake Ohakuri",,Accepted,No,Scofield 2008
2006/020,2006,Zebra finch,0,Live,Mar-03,"Auckland, Lower Huia Dam, Whatipu",,Accepted,No,Scofield 2008
2006/019,2006,Carolina wood duck,0,Breeding,Oct-15,"North Auckland, Coatesville",,Accepted,No,Scofield 2008
2006/018,2006,Mandarin duck,0,Breeding,Oct-15,"North Auckland, Coatesville",,Accepted,No,Scofield 2008
2006/017,2006,Meyer's parrot,0,Live,Oct-16,"Waiheke Island, Man o'war Bay",,Not accepted,No,Scofield 2008
2006/016,2006,Rose-ringed parakeet,0,Live,May-05,"North Auckland, near Matakana",,Not accepted,,
2006/015,2006,Fairy martin,1,Live,Nov-10,Snares Islands,,Accepted,No,Scofield 2006
2006/014,2006,Booby or gannet sp.,0,Live,Dec-03,"Whangarei Harbour, Hatea River",,Not accepted,No,Scofield 2008
2006/013,2006,Sand plover sp.,0,Live,Oct-18,"Southland, Waituna Lagoon",,Accepted,,
2006/012,2006,Sanderling,0,Live,Jan-09,"Farewell Spit, Fossil Point",,Accepted,No,Scofield 2006
2006/011,2006,Lesser sand plover,0,Live,Jan-28,Farewell Spit,,Accepted,No,Scofield 2006
2006/010,2006,Marsh sandpiper,0,Live,Jan-07,"Little Waihi estuary, Bay of Plenty",,Accepted,No,Scofield 2006
2006/009,2006,Chestnut-breasted shelduck,0,Live,Dec-22,"Christchurch, Hagley Park",,Accepted,No,Scofield 2006
2006/008,2006,Channel-billed cuckoo,1,Live,Jul-02,Wellington botanic gardens,,Not accepted,No,Scofield 2006
2006/007,2006,Australian white-eyed duck,0,Live,Dec-17,"Christchurch, Bromley oxidation ponds",,Accepted,No,Scofield 2006
2006/006,2006,Little egret,1,Live,Apr-06,"Marlborough, Wairau Lagoons",,Accepted,Yes,Scofield 2006
2006/005A,2006,Black-tailed godwit,0,Live,Mar-19,Mangawhai Spit,,Accepted,No,Scofield 2008
2006/005,2006,Subantarctic skua,1,Live,Apr-16,Kaikoura,,Accepted,No,Scofield 2006
2006/004,2006,South Polar skua,1,Live,Mar-05,Kaikoura pelagic,,Accepted,No,Scofield 2006
2006/003,2006,Grey phalarope,1,Live,Jul-06,"Far North, Ninety Mile Beach, Waipapakauri",,Accepted,No,Scofield 2006
2006/002,2006,Ruff,1,Live,Dec-18,"Bay of Plenty, Maketu estuary",,Accepted,No,Scofield 2006
2006/001,2006,South Polar skua,0,Live,Dec-29,"Hawke's Bay, near Clive",,Not accepted,No,Scofield 2006
2005/077,2005,Japanese snipe,1,Live,Sep-11,"Hamilton, Forest Lake (Rotokaeo)",,Accepted,No,Scofield 2006
2005/076,2005,Nankeen kestrel,1,Live,Sep-20,"North Westland, Big Totara River, Charleston",,Accepted,No,Scofield 2006
2005/075,2005,Fairy tern,1,Live,Oct-22,"Bay of Plenty, Maketu estuary",,Accepted,No,Scofield 2006
2005/074,2005,Fairy tern,2,Live,Nov-20,"Bay of Plenty, Maketu estuary",,Accepted,No,Scofield 2006
2005/073,2005,Lesser sand plover,1,Live,Jan-20,"Little Waihi estuary, Bay of Plenty",,Accepted,No,Scofield 2006
2005/072,2005,Yellow-eyed penguin,0,,Sep-25,"Wellington, Eastbourne",,Not accepted,No,Scofield 2006
2005/071,2005,White-faced heron,0,,Mar-04,"Auckland Islands, Erebus Cove, Port Ross",,Not accepted,No,Scofield 2006
2005/070,2005,Brown teal,1,Live,Oct-01,"North Canterbury, Waikuku Beach",,Accepted,No,Scofield 2006
2005/069,2005,Olive-backed oriole,0,,Sep-20,"North Canterbury, Cam River, Kaiapoi",,Not accepted,No,Scofield 2006
2005/068,2005,Nankeen kestrel,1,Live,Aug-16,"Marlborough, Dashwood Hill, Seddon",,Accepted,No,Scofield 2006
2005/067,2005,Black kite,1,Live,Aug-28,"Marlborough, Waihopai Valley Rd, Nr Renwick",,Accepted,No,Scofield 2006
2005/066,2005,Erect-crested penguin,1,Live,Mar-28,"South Otago, Moeraki Lighthouse",,Accepted,No,Scofield 2006
2005/065,2005,Snares crested penguin,1,Live,Mar-28,"South Otago, Moeraki Lighthouse",,Accepted,No,Scofield 2006
2005/064,2005,Black-tailed godwit,1,Live,Jul-24,"Kaipara Harbour, Big Sand Island (Tapora)",,Accepted,No,Scofield 2006
2005/063,2005,Grey plover,1,Live,Jul-27,"Kaipara Harbour, Big Sand Island (Tapora)",,Accepted,No,Scofield 2006
2005/062A,2005,Hudsonian godwit,1,Live,Nov-15,"Chatham Island, Te Whanga Lagoon",,Accepted,No,Miskelly et al. 2006
2005/062,2005,Glossy ibis,1,Live,Jul-25,"Manukau Harbour, Mangere ponds",,Accepted,No,Scofield 2006
2005/061,2005,Black-faced cuckoo-shrike,0,,May-05,"New Plymouth, Bell Block",,Accepted,No,Scofield 2006
2005/060,2005,Nankeen kestrel,0,,Jul-21,"Wellington, Moa Point",,Accepted,No,Scofield 2006
2005/059,2005,Brown booby,0,,Mar-05,Farewell Spit,,Accepted,No,Scofield 2006
2005/058,2005,Lesser sand plover,0,,Mar-12,Farewell Spit,,Not accepted,No,Scofield 2006
2005/057,2005,Kermadec petrel,0,,May-21,"Far North at sea, 40km East Northland",,Not accepted,No,Scofield 2006
2005/056,2005,Providence petrel,0,,May-21,"Far North at sea, 40 km NNW North Cape",,Not accepted,No,Scofield 2006
2005/055,2005,Black-tailed godwit,0,,Jun-24,Manukau Harbour,,Accepted,No,Scofield 2006
2005/054,2005,Sooty tern,0,,Jun-25,Kaipara Harbour,,Accepted,No,Scofield 2006
2005/053,2005,Sanderling,0,,Jun-23,Manukau Harbour,,Accepted,No,Scofield 2006
2005/052A,2005,Lesser sand plover,1,Live,Jun-25,Kaipara Harbour,,Accepted,,Miskelly et al. 2011
2005/052,2005,Marsh sandpiper,0,,Jun-25,Kaipara Harbour,,Accepted,No,Scofield 2006
2005/051,2005,Black fantail,0,,Jul-07,"South Westland, Lake Matheson",,Not accepted,No,Scofield 2006
2005/050,2005,Arctic tern,0,,Dec-30,"Southland, Awarua Bay",,Not accepted,No,Scofield 2006
2005/049,2005,Hudsonian godwit,1,Live,Nov-06,"Chatham Island, Te Whanga Lagoon",,Accepted,,Miskelly et al. 2006
2005/048,2005,unidentified raptor,0,,Jun-11,"Wellington, Eastbourne",,Suspense,No,Scofield 2006
2005/047,2005,Nankeen kestrel,0,,Apr-24,Kaimai Range near Aongatete,,Accepted,No,Scofield 2006
2005/046,2005,Red-necked phalarope,0,,May-15,"Lake Grassmere, Marlborough",,Accepted,No,Scofield 2006
2005/045,2005,Brown teal,0,,Mar-27,Waikanae River estuary,,Accepted,No,Scofield 2006
2005/044,2005,Greater sand plover,0,,May-02,"Manukau Harbour, Mangere ponds",,Accepted,No,Scofield 2006
2005/043,2005,Greater sand plover,0,,Apr-10,"Kaipara Harbour, Papakanui Spit",,Accepted,No,Scofield 2006
2005/042,2005,Hudsonian godwit,0,,Apr-11,"Manukau Harbour, Mangere ponds",,Accepted,No,Scofield 2006
2005/041,2005,Sanderling,0,,Apr-10,"Kaipara Harbour, Papakanui Spit",,Accepted,No,Scofield 2006
2005/040,2005,Pectoral sandpiper,0,,May-06,"Manukau Harbour, Mangere ponds",,Accepted,No,Scofield 2006
2005/039,2005,Bellbird,1,Live,Feb-23,Campbell Island,,Accepted,No,Scofield 2006
2005/038,2005,South Polar skua,2,Live,Apr-09,Foveaux Strait,,Accepted,No,Scofield 2006
2005/037,2005,Cattle egret,0,,Apr-10,Snares Islands,,Accepted,No,Scofield 2006
2005/036,2005,Arctic tern,0,Live,Nov-18,"Waikato coast, Ruapuke Beach",,Accepted,No,Scofield 2005
2005/035,2005,Dusky moorhen,0,Live,Feb-24,"Lake Ellesmere, on Christchurch to Akaroa Rd",,Accepted,No,Scofield 2005
2005/034,2005,Tree martin,0,,Feb-07,"Arthur's Pass, between Cass & Bealey",,Not accepted,No,Scofield 2005
2005/033,2005,Ringed plover,1,Live,Dec-15,"Miranda, Firth of Thames",,Not accepted,No,Scofield 2005
2005/032,2005,Marsh sandpiper,0,Live,Nov-01,Nelson Haven,,Accepted,No,Scofield 2005
2005/031,2005,Grey phalarope,0,Live,Mar-19,Farewell Spit,,Accepted,No,Scofield 2005
2005/030,2005,Marsh sandpiper,0,Live,Dec-26,"Ahuriri estuary, Napier",,Accepted,No,Scofield 2005
2005/029,2005,Grey-tailed tattler,0,Live,Jan-29,"Ahuriri estuary, Napier",,Accepted,No,Scofield 2005
2005/028,2005,Bellbird,1,Live,Mar-15,"Campbell Island, Camp Cove",,Accepted,No,Scofield 2006
2005/027,2005,Black falcon,1,Live,Feb-26,Marlborough Sounds near French Pass,,Not accepted,No,Scofield 2005
2005/026,2005,Japanese snipe,0,Live,Feb-27,"Waipara River mouth, Canterbury",,Accepted,No,Scofield 2005
2005/025,2005,Bellbird,0,,Sep-19,"Campbell Island, Camp Cove",,Accepted,No,Scofield 2005
2005/024,2005,Spur-winged plover,0,Unknown,Sep-12,"Campbell Island, Tucker Cover",,Accepted,No,Scofield 2005
